VILLAGE_UID,Q3175A1,Q3175B1,Q3175A2,Q3175B2,Q3175A3,Q3175B3,Q3175A4,Q3175B4,Q3175A5,Q3175B5,Q3175A6,Q3175B6,Q3175A7,Q3175B7,Q3175A8,Q3175B8,Q3175A9,Q3175B9,Q3175A10,Q3175B10,Q3175A11,Q3175B11
220110001,3,1,10,2,50,2,3,1,50,2,50,2,10,2,10,2,10,2,10,2,10,2
220110002,0,1,7,1,7,1,7,1,50,1,50,1,0,1,7,1,6,1,6,1,6,1
220110003,5,1,5,1,45,1,5,1,41,1,42,1,5,1,42,1,41,1,5,1,5,1
220110004,5,1,5,1,12,1,12,1,999,2,12,1,0,1,12,1,12,1,12,1,999,2
220110005,0,1,10,2,35,2,35,2,35,2,35,2,10,2,18,1,999,2,10,2,0,2
2201201,999,2,999,2,0,2,0,2,0,2,37,2,0,2,0,2,0,2,0,2,0,2
220210001,0,1,10,1,10,1,10,1,999,2,25,1,10,1,10,1,10,1,25,1,10,1
220210002,2,1,2,1,40,2,15,1,20,1,40,1,6,1,6,1,3,1,40,1,999,2
220210003,3,1,3,1,28,1,3,1,55,1,55,1,3,1,18,1,3,1,3,1,3,1
220210004,0,1,8,1,8,1,8,1,8,1,8,1,8,1,8,1,8,1,8,1,8,1
220210005,0,1,5,1,7,1,5,1,35,1,35,1,5,1,35,1,0,1,35,1,5,1
220210006,0,1,999,2,5,1,0,1,5,1,35,1,5,1,35,1,0,1,35,1,5,1
220210007,0,1,0,1,9,1,9,1,999,2,9,1,999,2,999,1,999,2,999,2,999,2
2202202,999,2,999,2,2,1,2,1,2,1,2,1,0,1,1,1,0,1,1,1,1,1
2202203,999,1,999,1,999,1,999,1,999,1,5,1,999,1,0,1,999,1,999,1,999,1
220310001,0,1,999,1,15,1,15,1,999,1,52,1,0,1,15,1,15,1,999,1,999,1
220310002,0,1,20,1,20,1,0,1,20,1,60,1,20,1,20,1,20,1,20,1,999,2
220310004,0,1,5,1,5,1,1,1,0,1,30,1,5,1,5,1,999,1,5,2,5,1
220310005,0,1,9,1,34,1,10,1,34,1,34,1,0,1,10,1,0,1,10,1,999,2
220310008,10,1,12,1,10,1,10,1,30,1,30,1,2,1,10,1,5,1,10,1,10,1
220310009,0,1,3,1,8,1,8,1,0,2,50,1,10,1,10,1,4,1,20,1,3,1
220310010,0,1,10,1,10,1,10,1,999,2,36,1,0,1,10,1,10,1,10,1,999,2
220310011,0,1,999,2,0,1,0,1,0,1,30,1,0,1,0,1,10,1,0,1,0,1
220310012,0,1,10,1,10,1,10,1,30,1,30,1,10,1,10,1,5,1,10,1,10,1
2203204,999,1,999,1,0,1,0,1,23,1,23,1,2,1,2,1,2,1,2,1,2,1
2203205,999,2,0,1,999,2,0,1,0,1,22,1,0,1,0,1,0,1,0,1,0,1
2203211,0,1,0,1,0,1,0,1,25,1,25,1,0,1,0,1,0,1,0,1,0,1
220410001,0,1,10,1,10,1,10,1,37,1,97,1,7,1,9,1,10,1,999,2,0,1
220410002,0,1,7,1,16,1,0,1,16,1,80,1,999,1,0,2,999,2,999,2,999,1
220410004,2,1,12,1,10,2,999,2,999,2,45,2,999,2,10,1,10,1,10,1,999,2
220410005,6,1,6,1,12,1,7,1,13,1,70,1,3,1,3,1,12,1,12,1,4,1
220410006,3,1,10,1,10,1,10,1,999,2,60,1,10,1,10,1,3,1,10,1,10,1
220410007,1,1,999,1,10,1,999,1,10,1,80,1,999,1,10,1,9,1,10,1,999,1
2204206,3,1,999,1,3,1,3,1,999,2,100,1,2,1,2,1,2,1,2,1,2,1
2204207,999,2,999,2,1,1,1,1,30,1,100,1,1,1,1,1,1,1,999,2,999,2
2204209,999,2,999,2,1,1,1,1,73,1,73,1,999,2,0,1,0,1,1,1,0,1
220510001,2,1,12,1,12,2,12,1,12,1,45,1,12,2,12,1,12,2,12,2,12,1
220510002,0,1,4,1,28,1,0,1,999,2,28,1,999,2,4,1,28,1,999,2,999,2
220510003,0,1,11,1,999,2,11,1,999,2,65,1,11,1,11,1,11,1,999,2,999,2
220510004,3,2,4,1,4,1,4,1,4,2,50,2,0,1,0,1,4,1,4,1,4,1
220510005,2.5,1,2.5,1,2.5,1,2.5,1,999,2,58,1,2.5,1,2.5,1,2.5,1,38,1,2.5,1
220510006,0,1,14,1,14,1,14,1,60,1,60,1,4,1,14,1,14,1,14,1,14,1
220510007,3,1,7,1,999,2,7,2,7,2,75,2,7,2,7,1,7,1,7,1,7,1
220510008,7,1,18,1,35,1,6,1,90,1,90,1,6,1,35,1,6,1,6,1,6,1
220510009,0,1,8,1,38,1,8,1,999,1,88,1,8,1,72,1,15,1,999,1,8,1
220510010,999,2,0,1,13,1,0,1,65,1,65,1,0,1,999,2,0,1,999,2,999,2
2205210,999,2,999,2,1,2,1,2,52,2,52,2,1,2,1,2,1,2,1,2,999,2
2205210,0,1,999,1,0,1,0,1,999,1,55,1,0,1,0,1,999,1,999,1,0,1
